512	512
828	196
718	306
432	592
208	816
110	914
94	930
74	950
62	962
67	957
65	959
209	815
432	592
520	504
448	576
347	677
244	780
181	843
142	882
117	907
103	921
361	663
593	431
550	474
398	626
270	754
181	843
119	905
94	930
74	950
60	964
235	789
487	537
526	498
394	630
263	761
185	839
139	885
108	916
102	922
108	916
341	683
585	439
511	513
342	682
218	806
139	885
105	919
88	936
74	950
72	952
259	765
489	535
525	499
436	588
305	719
193	831
142	882
117	907
120	904
100	924
291	733
505	519
503	521
382	642
278	746
175	849
141	883
117	907
100	924
89	935
296	728
537	487
518	506
371	653
274	750
180	844
150	874
110	914
102	922
80	944
285	739
497	527
487	537
392	632
279	745
196	828
155	869
132	892
123	901
104	920
329	695
545	479
507	517
395	629
297	727
200	824
131	893
92	932
80	944
69	955
512	512
518	506
536	488
536	488
524	500
526	498
525	499
532	492
535	489
519	505
514	510
521	503
526	498
537	487
529	495
527	497
515	509
503	521
504	520
502	522
490	534
493	531
487	537
487	537
495	529
492	532
498	526
515	509
518	506
507	517
506	518
511	513
517	507
509	515
503	521
489	535
488	536
474	550
465	559
469	555
444	580
468	556
462	562
474	550
478	546
478	546
482	542
487	537
481	543
484	540
492	532
508	516
519	505
521	503
502	522
493	531
482	542
466	558
474	550
473	551
469	555
489	535
488	536
485	539
483	541
489	535
499	525
497	527
494	530
498	526
493	531
497	527
506	518
502	522
503	521
495	529
491	533
481	543
490	534
491	533
503	521
508	516
499	525
508	516
521	503
530	494
533	491
523	501
522	502
526	498
540	484
541	483
549	475
546	478
545	479
544	480
538	486
545	479
536	488
541	483
545	479
512	512
513	511
530	494
524	500
535	489
553	471
543	481
537	487
537	487
529	495
538	486
533	491
534	490
547	477
551	473
568	456
565	459
564	460
580	444
588	436
596	428
606	418
595	429
610	414
615	409
617	407
614	410
604	420
605	419
604	420
614	410
603	421
596	428
599	425
602	422
605	419
609	415
607	417
597	427
601	423
601	423
601	423
608	416
614	410
624	400
630	394
646	378
645	379
640	384
634	390
622	402
639	385
656	368
653	371
664	360
653	371
645	379
634	390
619	405
615	409
619	405
615	409
618	406
619	405
635	389
635	389
621	403
618	406
613	411
621	403
611	413
615	409
612	412
615	409
624	400
622	402
627	397
621	403
625	399
611	413
636	388
627	397
613	411
607	417
606	418
605	419
616	408
617	407
615	409
622	402
622	402
624	400
619	405
623	401
610	414
613	411
614	410
611	413
610	414
611	413
614	410
512	512
823	201
715	309
427	597
247	777
158	866
117	907
99	925
82	942
62	962
71	953
71	953
65	959
71	953
68	956
61	963
52	972
58	966
55	969
62	962
62	962
56	968
64	960
68	956
60	964
52	972
50	974
50	974
47	977
44	980
42	982
37	987
43	981
47	977
52	972
61	963
53	971
130	894
305	719
433	591
460	564
391	633
294	730
236	788
164	860
124	900
100	924
91	933
99	925
103	921
120	904
113	911
126	898
118	906
118	906
95	929
98	926
106	918
112	912
110	914
114	910
116	908
121	903
117	907
115	909
122	902
120	904
116	908
126	898
119	905
128	896
130	894
123	901
214	810
407	617
478	546
433	591
339	685
247	777
182	842
164	860
126	898
111	913
107	917
98	926
103	921
108	916
114	910
109	915
110	914
101	923
106	918
105	919
115	909
114	910
111	913
117	907
123	901
121	903
127	897
128	896
512	512
835	189
767	257
456	568
244	780
126	898
107	917
81	943
62	962
56	968
66	958
71	953
66	958
72	952
74	950
89	935
78	946
77	947
82	942
75	949
69	955
74	950
75	949
66	958
67	957
66	958
60	964
58	966
53	971
55	969
54	970
58	966
61	963
62	962
64	960
59	965
55	969
56	968
60	964
57	967
59	965
57	967
54	970
124	900
240	784
374	650
428	596
381	643
323	701
256	768
224	800
193	831
180	844
148	876
114	910
121	903
113	911
111	913
104	920
112	912
101	923
86	938
80	944
79	945
78	946
80	944
82	942
83	941
92	932
95	929
100	924
96	928
99	925
105	919
103	921
102	922
108	916
106	918
110	914
115	909
116	908
112	912
113	911
114	910
126	898
242	782
452	572
512	512
420	604
326	698
228	796
165	859
136	888
98	926
67	957
66	958
74	950
84	940
77	947
72	952
76	948
512	512
843	181
694	330
333	691
164	860
93	931
66	958
48	976
40	984
48	976
43	981
30	994
34	990
30	994
39	985
31	993
36	988
36	988
38	986
31	993
31	993
30	994
31	993
29	995
27	997
25	999
28	996
31	993
32	992
33	991
36	988
32	992
33	991
31	993
19	1005
17	1007
16	1008
52	972
118	906
223	801
340	684
410	614
413	611
347	677
257	767
207	817
171	853
152	872
140	884
137	887
135	889
123	901
129	895
124	900
117	907
120	904
126	898
125	899
142	882
141	883
123	901
114	910
105	919
110	914
109	915
109	915
100	924
103	921
97	927
93	931
95	929
86	938
90	934
193	831
425	599
504	520
413	611
325	699
246	778
190	834
147	877
125	899
88	936
92	932
100	924
123	901
129	895
122	902
121	903
119	905
124	900
131	893
136	888
139	885
139	885
143	881
134	890
131	893
138	886
144	880
145	879
512	512
787	237
708	316
421	603
212	812
135	889
102	922
87	937
65	959
64	960
68	956
74	950
74	950
82	942
70	954
69	955
66	958
72	952
82	942
84	940
85	939
93	931
96	928
101	923
101	923
105	919
115	909
114	910
119	905
135	889
129	895
130	894
132	892
124	900
125	899
125	899
128	896
121	903
125	899
124	900
124	900
125	899
129	895
304	720
513	511
529	495
399	625
317	707
225	799
170	854
149	875
103	921
80	944
83	941
70	954
49	975
52	972
43	981
45	979
39	985
43	981
48	976
49	975
44	980
43	981
38	986
42	982
39	985
36	988
35	989
33	991
35	989
36	988
41	983
36	988
31	993
35	989
32	992
31	993
31	993
32	992
31	993
32	992
32	992
31	993
74	950
146	878
215	809
282	742
323	701
358	666
345	679
305	719
